Jan-00,Liverpool,Bradford,H
Jan-00,Liverpool,"Aston Villa",H
Jan-00,Liverpool,"Man City",H
Jan-00,Derby,Liverpool,A
Jan-00,Liverpool,Leicester,H
Jan-00,Liverpool,Everton,H
Jan-00,Liverpool,Coventry,H
Jan-00,Liverpool,Charlton,H
Jan-00,"Man United",Liverpool,A
Jan-00,Liverpool,Arsenal,H
Jan-00,Liverpool,Southampton,H
Jan-00,"Aston Villa",Liverpool,A
Jan-00,Liverpool,"West Ham",H
Jan-00,Liverpool,"Man United",H
Jan-00,Everton,Liverpool,A
Jan-00,Liverpool,Tottenham,H
Jan-00,Coventry,Liverpool,A
Jan-00,Bradford,Liverpool,A
Jan-00,Liverpool,Newcastle,H
Jan-00,Charlton,Liverpool,A
01-Feb,Liverpool,"West Ham",H
01-Feb,Everton,Liverpool,A
01-Feb,Liverpool,Tottenham,H
01-Feb,Newcastle,Liverpool,A
01-Feb,Leicester,Liverpool,A
01-Feb,Charlton,Liverpool,A
01-Feb,Liverpool,"Man United",H
01-Feb,Liverpool,Sunderland,H
01-Feb,Derby,Liverpool,A
01-Feb,Liverpool,Middlesbrough,H
01-Feb,"Aston Villa",Liverpool,A
01-Feb,"Man United",Liverpool,A
01-Feb,Liverpool,Leicester,H
01-Feb,Leeds,Liverpool,A
01-Feb,Ipswich,Liverpool,A
01-Feb,Fulham,Liverpool,A
01-Feb,Liverpool,Newcastle,H
01-Feb,Middlesbrough,Liverpool,A
01-Feb,Liverpool,Chelsea,H
01-Feb,Liverpool,Charlton,H
01-Feb,Sunderland,Liverpool,A
01-Feb,Liverpool,Derby,H
01-Feb,Liverpool,Blackburn,H
01-Feb,Liverpool,Ipswich,H
02-Mar,"Aston Villa",Liverpool,A
02-Mar,Liverpool,Southampton,H
02-Mar,Bolton,Liverpool,A
02-Mar,Liverpool,"West Brom",H
02-Mar,"Man City",Liverpool,A
02-Mar,Liverpool,Chelsea,H
02-Mar,Leeds,Liverpool,A
02-Mar,Liverpool,Tottenham,H
02-Mar,Liverpool,"West Ham",H
02-Mar,Southampton,Liverpool,A
02-Mar,"West Ham",Liverpool,A
02-Mar,Liverpool,Bolton,H
02-Mar,Tottenham,Liverpool,A
02-Mar,Liverpool,Leeds,H
02-Mar,Liverpool,Fulham,H
02-Mar,Everton,Liverpool,A
02-Mar,Liverpool,Charlton,H
02-Mar,"West Brom",Liverpool,A
03-Apr,Everton,Liverpool,A
03-Apr,Blackburn,Liverpool,A
03-Apr,Liverpool,Leicester,H
03-Apr,Liverpool,Leeds,H
03-Apr,Fulham,Liverpool,A
03-Apr,Liverpool,Birmingham,H
03-Apr,Liverpool,Bolton,H
03-Apr,Chelsea,Liverpool,A
03-Apr,Liverpool,"Aston Villa",H
03-Apr,Liverpool,"Man City",H
03-Apr,Liverpool,Portsmouth,H
03-Apr,Liverpool,Wolves,H
